The Simple Path to Wealth,JL Collins,6 hrs and 38 mins
A Good Girl's Guide to Murder,Holly Jackson,10 hrs and 53 mins
The Awe of God,John Bevere,7 hrs and 28 mins
Apple Blossom B&B,Anne-Marie Meyer,6 hrs and 27 mins
Observer,"Robert Lanza,Nancy Kress",13 hrs and 11 mins
Irresistibly Wild,"J. Saman,Julie Saman",11 hrs and 46 mins
Pageboy,Elliot Page,8 hrs and 23 mins
The Sacred Calf,Lane R. Warenski,8 hrs and 25 mins
Leadership as an Identity,Crawford W. Loritts,5 hrs and 18 mins
All the Light We Cannot See,Anthony Doerr,16 hrs and 2 mins
The Secret,Rhonda Byrne,4 hrs and 24 mins
The Name of the Wind,Patrick Rothfuss,27 hrs and 55 mins
"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud",11 hrs and 18 mins
The Ballad of Songbirds and Snakes,Suzanne Collins,16 hrs and 16 mins
Please Don’t Tell My Parents I’m a Giant Monster,Richard Roberts,8 hrs and 19 mins
Tremendous,"Joey ""Coco"" Diaz",6 hrs and 45 mins
Meditations,"Marcus Aurelius,Gregory Hays - translator",4 hrs and 35 mins
Dear Grumpy Boss,Julia Wolf,11 hrs and 26 mins
